"Year","depart","land","lat1","lon1","state.x","lat2","lon2","state.y"
2004,"CAK","SFO",40.9160833,-81.4421944,"Ohio",37.618972,-122.374889,"California"
2014,"HPN","SAV",41.066959,-73.707575,"New York",32.127583,-81.202139,"Georgia"
1998,"MDW","PHX",41.785972,-87.752417,"Illinois",33.434278,-112.011583,"Arizona"
2006,"PVD","LGA",41.732581,-71.420383,"Rhode Island",40.777245,-73.872608,"New York"
2006,"DAL","DSM",32.847111,-96.851778,"Texas",41.533972,-93.663083,"Iowa"
2000,"LAS","BWI",36.080056,-115.15225,"Nevada",39.175361,-76.668333,"Maryland"
2003,"DAY","BWI",39.902375,-84.219375,"Ohio",39.175361,-76.668333,"Maryland"
2005,"JAX","SNA",30.494056,-81.687861,"Florida",33.675667,-117.868222,"California"
2001,"LGA","SJC",40.777245,-73.872608,"New York",37.3626,-121.929022,"California"
1994,"PVD","BNA",41.732581,-71.420383,"Rhode Island",36.124472,-86.678194,"Tennessee"
2001,"JFK","PBI",40.639751,-73.778925,"New York",26.683161,-80.095589,"Florida"
2011,"PIT","SFO",40.491467,-80.232872,"Pennsylvania",37.618972,-122.374889,"California"
2000,"MDW","TYS",41.785972,-87.752417,"Illinois",35.810972,-83.994028,"Tennessee"
2011,"SEA","BWI",47.449,-122.309306,"Washington",39.175361,-76.668333,"Maryland"
2013,"EWR","ROC",40.6925,-74.168667,"New Jersey",43.118866,-77.672389,"New York"
2003,"ATL","MIA",33.636719,-84.428067,"Georgia",25.79325,-80.290556,"Florida"
2005,"SDF","OAK",38.1740858,-85.7364989,"Kentucky",37.721278,-122.220722,"California"
2006,"PVD","SAN",41.732581,-71.420383,"Rhode Island",32.733556,-117.189667,"California"
1999,"HOU","RNO",29.645419,-95.278889,"Texas",39.499108,-119.768108,"Nevada"
2008,"PVD","ORF",41.732581,-71.420383,"Rhode Island",36.894611,-76.201222,"Virginia"
1999,"GRR","FLL",42.880833,-85.522806,"Michigan",26.072583,-80.15275,"Florida"
1993,"CAK","PBI",40.9160833,-81.4421944,"Ohio",26.683161,-80.095589,"Florida"
1998,"MDW","MSP",41.785972,-87.752417,"Illinois",44.881956,-93.221767,"Minnesota"
2010,"LGB","STL",33.817722,-118.151611,"California",38.748697,-90.370028,"Missouri"
2001,"LAX","OKC",33.942536,-118.408075,"California",35.393089,-97.600733,"Oklahoma"
2003,"FLL","LGA",26.072583,-80.15275,"Florida",40.777245,-73.872608,"New York"
2003,"LGA","SLC",40.777245,-73.872608,"New York",40.788389,-111.977772,"Utah"
1993,"MIA","MKE",25.79325,-80.290556,"Florida",42.947222,-87.896583,"Wisconsin"
1999,"IAH","LGB",29.984433,-95.341442,"Texas",33.817722,-118.151611,"California"
2010,"LGB","LGA",33.817722,-118.151611,"California",40.777245,-73.872608,"New York"
2002,"BOI","SNA",43.564361,-116.222861,"Idaho",33.675667,-117.868222,"California"
2011,"ELP","JFK",31.80725,-106.377583,"Texas",40.639751,-73.778925,"New York"
1993,"MIA","BNA",25.79325,-80.290556,"Florida",36.124472,-86.678194,"Tennessee"
1993,"DEN","TPA",39.861656,-104.673178,"Colorado",27.975472,-82.53325,"Florida"
2007,"BOI","BUR",43.564361,-116.222861,"Idaho",34.200667,-118.358667,"California"
1997,"LGA","PHX",40.777245,-73.872608,"New York",33.434278,-112.011583,"Arizona"
1993,"TPA","IAD",27.975472,-82.53325,"Florida",38.944533,-77.455811,"Virginia"
1997,"AUS","PVD",30.194528,-97.669889,"Texas",41.732581,-71.420383,"Rhode Island"
2005,"BTR","IAD",30.532778,-91.15,"Louisiana",38.944533,-77.455811,"Virginia"
2006,"DTW","SJC",42.212444,-83.353389,"Michigan",37.3626,-121.929022,"California"
1993,"CLE","PHX",41.411689,-81.849794,"Ohio",33.434278,-112.011583,"Arizona"
1999,"LGA","BWI",40.777245,-73.872608,"New York",39.175361,-76.668333,"Maryland"
2012,"CAK","HPN",40.9160833,-81.4421944,"Ohio",41.066959,-73.707575,"New York"
2013,"HOU","SAT",29.645419,-95.278889,"Texas",29.533694,-98.469778,"Texas"
2002,"LAS","LGB",36.080056,-115.15225,"Nevada",33.817722,-118.151611,"California"
2014,"PVD","DFW",41.732581,-71.420383,"Rhode Island",32.896828,-97.037997,"Texas"
2001,"DTW","DCA",42.212444,-83.353389,"Michigan",38.852083,-77.037722,"District of Columbia"
1998,"BOS","TUS",42.364347,-71.005181,"Massachusetts",32.116083,-110.941028,"Arizona"
2012,"CMH","SWF",39.997972,-82.891889,"Ohio",41.504094,-74.104839,"New York"
2014,"DFW","SDF",32.896828,-97.037997,"Texas",38.1740858,-85.7364989,"Kentucky"
1997,"HPN","PWM",41.066959,-73.707575,"New York",43.646161,-70.309281,"Maine"
2009,"BUR","DCA",34.200667,-118.358667,"California",38.852083,-77.037722,"District of Columbia"
2013,"BUF","SNA",42.940525,-78.732167,"New York",33.675667,-117.868222,"California"
2004,"ONT","GEG",34.056,-117.601194,"California",47.619861,-117.533833,"Washington"
1999,"BOS","SNA",42.364347,-71.005181,"Massachusetts",33.675667,-117.868222,"California"
2007,"SDF","SJC",38.1740858,-85.7364989,"Kentucky",37.3626,-121.929022,"California"
2014,"GRR","PHX",42.880833,-85.522806,"Michigan",33.434278,-112.011583,"Arizona"
2006,"DAY","ONT",39.902375,-84.219375,"Ohio",34.056,-117.601194,"California"
1994,"LAX","EWR",33.942536,-118.408075,"California",40.6925,-74.168667,"New Jersey"
2009,"ONT","PHL",34.056,-117.601194,"California",39.871944,-75.241139,"Pennsylvania"
2005,"PHF","OAK",37.131894,-76.492989,"Virginia",37.721278,-122.220722,"California"
2004,"FNT","TPA",42.965424,-83.743629,"Michigan",27.975472,-82.53325,"Florida"
2011,"PHL","TPA",39.871944,-75.241139,"Pennsylvania",27.975472,-82.53325,"Florida"
2002,"SNA","HPN",33.675667,-117.868222,"California",41.066959,-73.707575,"New York"
1998,"ORD","PIT",41.978603,-87.904842,"Illinois",40.491467,-80.232872,"Pennsylvania"
1999,"HOU","LAS",29.645419,-95.278889,"Texas",36.080056,-115.15225,"Nevada"
2012,"ABQ","HPN",35.0402222,-106.6091944,"New Mexico",41.066959,-73.707575,"New York"
1997,"MDW","PWM",41.785972,-87.752417,"Illinois",43.646161,-70.309281,"Maine"
2007,"MIA","PIT",25.79325,-80.290556,"Florida",40.491467,-80.232872,"Pennsylvania"
2001,"DAL","BUR",32.847111,-96.851778,"Texas",34.200667,-118.358667,"California"
2014,"AUS","HOU",30.194528,-97.669889,"Texas",29.645419,-95.278889,"Texas"
2011,"ISP","SMF",40.79525,-73.100222,"New York",38.695417,-121.590778,"California"
2002,"LAX","MKE",33.942536,-118.408075,"California",42.947222,-87.896583,"Wisconsin"
2000,"DSM","LAX",41.533972,-93.663083,"Iowa",33.942536,-118.408075,"California"
1998,"BHM","BUR",33.562942,-86.75355,"Alabama",34.200667,-118.358667,"California"
2006,"HPN","SAT",41.066959,-73.707575,"New York",29.533694,-98.469778,"Texas"
2004,"FNT","FLL",42.965424,-83.743629,"Michigan",26.072583,-80.15275,"Florida"
2014,"ALB","ORD",42.748267,-73.801692,"New York",41.978603,-87.904842,"Illinois"
2002,"FLL","MCO",26.072583,-80.15275,"Florida",28.429394,-81.308994,"Florida"
1999,"TUL","DCA",36.198389,-95.888111,"Oklahoma",38.852083,-77.037722,"District of Columbia"
